time;analyteName;value;unit;siteId;site;siteLatitudeWGS84;siteLongitudeWGS84;siteDepthM;dataSource;
1991-05-15T00:00:00+02:00;Secchi depth;0.3;m;5204;Skällkon;62.90589;21.41207;0.5;SYKE;
2023-05-15T11:40:00+02:00;Secchi depth;0.5;m;5204;Skällkon;62.90589;21.41207;0.5;SYKE;
2023-08-15T10:23:00+02:00;Secchi depth;0.8;m;5204;Skällkon;62.90589;21.41207;0.5;SYKE;
2023-09-26T13:50:00+02:00;Secchi depth;0.4;m;5204;Skällkon;62.90589;21.41207;0.5;SYKE;
1985-10-07T11:00:00+02:00;Secchi depth;0.5;m;5242;Kyrönjoen suisto p.2;63.19157;21.97772;;SYKE;
1985-10-30T10:00:00+02:00;Secchi depth;0.6;m;5242;Kyrönjoen suisto p.2;63.19157;21.97772;;SYKE;
1985-10-07T11:00:00+02:00;Secchi depth;0.5;m;5243;Kyrönjoen suisto p.3;63.20945;21.99998;;SYKE;
1985-10-30T10:00:00+02:00;Secchi depth;0.9;m;5243;Kyrönjoen suisto p.3;63.20945;21.99998;;SYKE;
1989-10-16T00:00:00+02:00;Secchi depth;2;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
1994-08-18T00:00:00+02:00;Secchi depth;1.6;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
1995-02-09T13:00:00+02:00;Secchi depth;3;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
1995-09-21T00:00:00+02:00;Secchi depth;2;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
1996-02-05T13:00:00+02:00;Secchi depth;2;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
2007-03-13T15:41:00+02:00;Secchi depth;4;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
2008-02-14T11:00:00+02:00;Secchi depth;1.3;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
2009-02-17T10:30:00+02:00;Secchi depth;1.9;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
2009-08-12T10:30:00+02:00;Secchi depth;1.2;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
2009-09-08T14:27:00+02:00;Secchi depth;1.7;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
2010-02-10T11:00:00+02:00;Secchi depth;2.2;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
2010-08-09T14:30:00+02:00;Secchi depth;2;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
2011-01-31T11:00:00+02:00;Secchi depth;2.2;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
2011-08-04T10:15:00+02:00;Secchi depth;1.6;m;5246;Skinnarfjärd;63.22814;21.67542;7;SYKE;
